purchase_year,purchase_month,purchase_month_name,order_count,total_revenue,avg_order_value
2017,1,Jan,750,127545.67,170.06
2017,2,Feb,1653,271298.65,164.13
2017,3,Mar,2546,414369.39,162.75
2017,4,Apr,2303,390952.18,169.76
2017,5,May,3546,567066.73,159.92
2017,6,Jun,3135,490225.6,156.37
2017,7,Jul,3872,566403.93,146.28
2017,8,Aug,4193,646000.61,154.07
2017,9,Sep,4150,701169.99,168.96
2017,10,Oct,4478,751140.27,167.74
2017,11,Nov,7289,1153528.05,158.26
2017,12,Dec,5513,843199.17,152.95
2018,1,Jan,7069,1078606.86,152.58
2018,2,Feb,6555,966510.88,147.45
2018,3,Mar,7003,1120678.0,160.03
2018,4,Apr,6798,1132933.95,166.66
2018,5,May,6749,1128836.69,167.26
2018,6,Jun,6099,1012090.68,165.94
2018,7,Jul,6159,1027903.86,166.89
2018,8,Aug,6351,985414.28,155.16
